trajet,catr,circ,nbv,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col,catv,obs,obsm,choc,pieton,sexe_conducteur,age,Num_Acc,Y
5,4,2,2,1,1,1,0,1,2,10,1,26,2,3,1,3,2,0,2,1,0,1,14,202200000001,0
5,4,2,2,1,1,1,0,1,2,10,1,26,2,3,1,3,2,0,2,1,0,1,74,202200000001,0
0,3,-1,2,1,1,1,5,1,2,10,1,22,2,6,1,2,3,0,2,1,0,1,20,202200000003,0
9,3,-1,2,1,1,1,5,1,2,10,1,22,2,6,1,2,3,0,2,1,0,0,35,202200000003,0
0,4,1,1,2,1,1,0,1,1,10,1,16,2,3,8,6,3,0,1,3,1,0,22,202200000004,0
4,3,3,4,1,1,1,0,1,2,10,1,13,2,2,1,3,4,0,1,3,1,1,32,202200000006,0
2,4,2,3,1,1,2,0,3,2,10,1,10,2,1,8,6,3,0,1,1,1,1,60,202200000009,0
0,4,3,1,1,1,1,0,1,2,10,1,10,2,9,1,-1,3,0,1,2,1,1,21,202200000010,0
-1,3,2,2,2,1,2,0,4,2,10,5,9,2,1,2,6,3,8,0,7,0,0,21,202200000011,0
9,3,2,2,1,1,1,0,1,3,10,3,3,1,1,1,6,3,0,1,1,1,0,21,202200000013,1
-1,4,1,4,1,2,2,0,1,1,10,5,75,2,7,1,2,3,0,2,4,0,0,21,202200000015,0
9,4,1,4,1,2,2,0,1,1,10,5,75,2,7,1,2,3,0,2,4,0,1,21,202200000015,0
4,4,2,2,1,1,1,0,1,1,10,1,75,2,1,1,3,3,0,2,3,0,0,62,202200000016,0
9,4,2,2,1,1,1,0,1,1,10,1,75,2,1,1,3,3,0,2,3,0,1,40,202200000016,0
4,4,1,3,1,1,1,0,5,1,10,1,75,2,2,1,3,4,0,2,2,0,1,20,202200000017,0
5,4,1,3,1,1,1,0,5,1,10,1,75,2,2,1,3,4,0,2,2,0,1,19,202200000017,0
-1,4,3,2,2,1,2,0,1,1,10,5,75,2,3,9,6,4,0,1,4,1,0,21,202200000018,0
1,4,2,2,1,1,1,0,1,1,10,1,75,2,1,1,3,0,0,2,1,0,1,46,202200000019,0
4,4,2,2,1,1,1,0,1,1,10,1,75,2,1,1,3,0,0,2,1,0,1,43,202200000019,0
4,4,-1,4,1,1,2,0,1,2,10,1,75,2,3,1,3,5,0,2,1,0,1,44,202200000020,0
-1,4,-1,4,1,1,2,0,1,2,10,1,75,2,3,1,3,5,0,2,1,0,0,21,202200000020,0
4,4,2,4,1,3,2,8,1,1,10,5,75,2,7,2,1,0,0,2,3,0,1,42,202200000021,0
1,4,2,4,1,3,2,8,1,1,10,5,75,2,7,2,1,0,0,2,3,0,1,34,202200000021,0
1,4,2,2,1,1,1,0,1,1,10,2,75,2,1,1,6,3,1,0,7,0,0,58,202200000022,0
9,4,1,1,1,1,1,0,1,1,10,5,75,2,1,1,6,0,1,0,3,0,1,41,202200000023,0
9,4,2,6,2,2,2,0,5,2,10,1,75,2,4,1,6,1,9,0,0,0,1,61,202200000025,0
9,4,2,4,1,1,2,0,1,1,10,5,75,2,3,8,3,0,0,2,1,0,1,21,202200000026,0
9,4,2,4,1,1,2,0,1,1,10,5,75,2,3,8,3,0,0,2,1,0,0,23,202200000026,0
5,4,2,2,1,1,1,0,1,1,10,1,75,2,2,1,6,1,0,1,1,1,0,21,202200000027,0
4,4,1,1,1,1,1,0,1,1,10,1,75,2,2,1,6,3,0,1,7,1,1,49,202200000028,0
1,4,2,1,1,1,2,5,1,2,10,5,94,2,3,3,1,3,0,1,1,1,1,21,202200000029,0
0,1,1,2,1,2,1,3,1,2,9,3,94,1,1,1,6,3,4,0,1,0,1,25,202200000030,0
9,3,2,2,1,1,2,9,1,2,10,1,94,2,1,9,2,3,0,1,4,1,0,65,202200000033,0
2,3,2,2,1,1,1,0,1,2,10,1,94,2,1,1,3,2,0,2,3,0,1,17,202200000034,0
9,3,2,2,1,1,1,0,1,2,10,1,94,2,1,1,3,2,0,2,3,0,1,11,202200000034,0
4,3,3,1,1,1,2,0,1,2,10,1,94,2,6,3,1,4,4,0,3,0,1,25,202200000036,0
1,4,2,2,1,1,2,0,1,2,10,5,94,2,3,2,6,3,0,1,2,1,0,31,202200000037,0
2,3,2,2,1,1,2,0,1,2,10,1,94,2,2,2,6,4,0,1,3,1,1,21,202200000038,0
1,3,2,2,1,1,1,0,1,2,10,1,93,2,1,1,6,3,0,1,1,1,0,25,202200000040,0
0,5,2,2,1,1,1,0,4,2,10,1,93,2,1,1,6,4,9,1,2,1,1,21,202200000043,0
1,4,3,4,2,1,2,5,1,2,10,1,93,2,2,2,3,3,0,2,1,0,0,38,202200000044,0
9,4,3,4,2,1,2,5,1,2,10,1,93,2,2,2,3,3,0,2,1,0,0,38,202200000044,0
1,3,3,4,1,1,3,1,1,2,10,5,93,2,1,3,2,0,0,0,5,0,1,41,202200000045,0
0,3,3,4,1,1,3,1,1,2,10,5,93,2,1,3,2,0,0,0,5,0,1,46,202200000045,0
